name,num,difficulty
surf_bikini_bottom,35,748.440
surf_damnation,33,747.869
surf_pls,36,747.629
surf_shibboleth,32,746.523
surf_angelina,36,745.688
surf_insects,32,743.420
surf_quake,33,742.708
surf_monolith,33,742.621
surf_minecraft_fix,31,741.910
surf_funhouse2,35,740.399
surf_embrace,35,737.650
surf_twist,31,736.577
surf_cement,36,735.492
surf_tronia_refix,33,735.121
surf_pls,40,733.486
surf_kultur,36,733.376
surf_1024,38,733.053
surf_ghost_busters,31,732.812
surf_enlightened_ksf,33,732.221
surf_stagejuan_ksf,33,732.120
surf_threnody,32,731.828
surf_kartune,36,730.986
surf_bikini_bottom,33,730.783
surf_paradigm,31,728.636
surf_rewind,34,725.839
surf_insects,33,725.337
surf_lowestbidder,31,724.751
surf_olivia,34,722.890
surf_anomaly,31,722.493
surf_board_this_fix,32,721.735
surf_zen2,35,720.943
surf_anubis_ksf,32,720.637
surf_1024,37,720.202
surf_fungus,33,718.877
surf_shibboleth,36,718.774
surf_remeanian,38,717.781
surf_calibration,31,716.311
surf_quirky,35,716.255
surf_firedancer,36,716.130
surf_techslop,32,715.654
surf_tronia_refix,32,715.300
surf_jaqen2,33,715.176
surf_saturday,32,714.981
surf_crank,34,714.579
surf_fast,33,713.559
surf_rise,34,710.674
surf_tropic_ksf,34,709.862
surf_pride,33,709.670
surf_midsommar,32,708.190
surf_quirky,34,707.583
surf_anubis_ksf,38,707.247
surf_jumble,32,706.163
surf_polygon,34,705.238
surf_quake,35,703.861
surf_theunexpected,31,703.574
surf_brutalist,31,703.544
surf_autonomy,31,703.364
surf_tormentor,39,701.396
surf_sirius,31,700.991
surf_germania,32,700.775
surf_shade,37,698.658
surf_earthmover,31,695.399
surf_spacemonkeys,34,694.814
surf_jitterbug,32,694.702
surf_gary_barlow,31,694.189
surf_ruse,33,693.746
surf_excavation,36,692.264
surf_sirena,32,690.671
surf_affliction,34,689.684
surf_consistenza_diversa,32,689.584
surf_dread,31,689.495
surf_devs_ksf,31,689.447
surf_simpsons2,31,688.183
surf_elysium4,31,688.009
surf_kultur,34,686.822
surf_vienna,35,686.671
surf_pride,32,686.491
surf_pipeline,32,686.210
surf_quirky,39,686.082
surf_1024,35,685.832
surf_mudkip,35,685.147
surf_corruption,35,684.691
surf_elysium4,33,683.218
surf_1024,34,683.109
surf_not_so_prosurf,37,677.026
surf_rewind,33,675.955
surf_infrared,34,675.579
surf_ruse,38,675.123
surf_banana_fix,31,674.486
surf_1024,32,673.915
surf_polonia,32,672.131
surf_eryr2_fix,33,671.629
surf_board_this_fix,34,671.238
surf_hero,34,670.659
surf_inferno,31,669.916
surf_ab,34,668.956
surf_kvas,33,668.934
surf_autosave_fix,31,668.905
surf_nsz_fix,36,668.582
surf_torrential,31,668.246
surf_olivia,35,667.715
surf_shibboleth,40,667.409
surf_vienna,34,667.132
surf_666,36,666.667
surf_illusion,32,665.950
surf_paradigm,32,665.843
surf_rubiks_cube,31,665.838
surf_chromatic,34,662.860
surf_firedancer,37,662.405
surf_ab,35,662.160
surf_cinnamon_fix,31,661.856
surf_listless_ksf,33,661.120
surf_monkeys2,34,660.787
surf_crimson,31,660.678
surf_aphelion,36,660.326
surf_angst,31,659.670
surf_autosave_fix,32,659.490
surf_era,33,658.891
surf_rands,33,658.221
surf_ruse,40,657.622
surf_breach,31,657.371
surf_technical,31,657.276
surf_sirius,32,657.012
surf_vitamin_e,31,656.251
surf_affliction,37,655.499
surf_happyhug,33,654.412
surf_shade,36,654.219
surf_yolo,33,654.113
surf_kultur,31,652.356
surf_ben10,31,651.677
surf_airflow,31,651.220
surf_shade,34,651.138
surf_quirky,37,650.974
surf_technical,33,649.227
surf_salient2,32,648.370
surf_thesteve,31,647.714
surf_shodan,36,647.332
surf_banana_fix,33,646.816
surf_not_so_prosurf,35,646.748
surf_beginner_hell,31,646.442
surf_the_internet,31,646.118
surf_affliction,35,645.734
surf_sandtrap2,34,644.519
surf_4am,35,642.448
surf_kairo,31,641.621
surf_epiphany,32,641.019
surf_tensor2,32,639.887
surf_quirky,33,639.276
surf_eunoia,33,638.929
surf_papertown,35,638.908
surf_weirdcore,32,638.311
surf_quake,39,637.980
surf_oneiric,31,636.724
surf_tronia_refix,34,636.167
surf_embrace,34,635.634
surf_dune,31,635.500
surf_technique,34,635.474
surf_rise,38,635.016
surf_pls,35,634.741
surf_crank,32,634.253
surf_halloween_fix,32,633.562
surf_jagerbomb,32,633.199
surf_shibboleth,33,632.900
surf_hardline,34,631.990
surf_quake,34,631.984
surf_vitamin_e,34,631.824
surf_cosmo,32,631.171
surf_haze,31,631.160
surf_not_so_prosurf,34,630.906
surf_shambles,33,630.844
surf_bugs,33,630.623
surf_suburbia,32,630.593
surf_extremex2_5,31,630.042
surf_4am,32,629.751
surf_zeitgeist,32,629.736
surf_pride,38,628.673
surf_selenka2,35,628.468
surf_hero,35,627.944
surf_suburbia,33,626.543
surf_medley_fix,31,625.291
surf_technique,35,623.208
surf_fornax,32,623.030
surf_lost2,34,622.122
surf_aphelion,35,621.582
surf_remeanian,36,621.419
surf_offskill,31,620.318
surf_aphelion,32,619.881
surf_bugs,32,618.711
surf_theunexpected,33,617.609
surf_amaro,31,616.747
surf_epicube,31,616.640
surf_infrared,33,615.428
surf_hellenic,31,615.353
surf_enigma,32,615.069
surf_activation,34,614.597
surf_smol,35,614.320
surf_santorini3,35,614.288
surf_earthmover,33,614.108
surf_sluice2,33,613.927
surf_fairy,31,612.231
surf_not_so_quick,31,611.509
surf_expel,34,611.369
surf_shibboleth,31,610.861
surf_zeonine,31,610.753
surf_rise,37,610.256
surf_dune,37,609.455
surf_hotwheels_fix,36,608.831
surf_infrared,32,608.597
surf_monkeys2,32,608.575
surf_life_of_cow,31,607.786
surf_salient,32,607.112
surf_froots2,32,607.095
surf_firedancer,31,607.019
surf_froots_ksf,35,606.592
surf_ben10,34,604.781
surf_cavity,32,604.737
surf_joutsenlaulu,32,604.648
surf_shodan,39,604.588
surf_twist,32,604.076
surf_angelina,39,603.797
surf_threnody,31,603.675
surf_helloworld,33,603.000
surf_remeanian,37,602.184
surf_haze,32,601.637
surf_pls,33,601.535
surf_fabas,32,601.198
surf_greenhouse,31,600.453
surf_polygon,33,600.230
surf_epiphany,31,599.658
surf_solace,32,598.097
surf_runewords,32,597.820
surf_kartune,34,597.748
surf_tycho2,32,597.459,<--------------------------------- tier 7
surf_eon_fix,33,596.751
surf_chungus_fungus,36,595.490
surf_vantica,32,595.442
surf_papertown,33,595.405
surf_pride,36,594.533
surf_kultur,32,594.408
surf_not_so_quick,36,594.254
surf_artifex,31,593.886
surf_panta_rhei,31,593.749
surf_monkeys,34,593.702
surf_quake,37,592.347
surf_doodles_njv,31,592.103
surf_sinister_evil,32,591.672
surf_kairo,36,591.669
surf_axil,31,590.144
surf_helljumper,35,589.856
surf_atonement,31,589.759
surf_excavation,37,588.519
surf_consistenza_diversa,31,587.492
surf_core_refix,32,587.075
surf_ben10,39,587.064
surf_sinister2,31,584.597
surf_prosurf,32,584.005
surf_scarlet_ksf,33,583.387
surf_huh,33,581.808
surf_axiom,33,581.107
surf_facility,33,580.858
surf_angst,33,580.507
surf_pls,38,580.109
surf_n_turf,37,579.838
surf_zen,32,579.698
surf_y,31,579.475
surf_skipalot,34,578.609
surf_corruption,36,578.584
surf_wasteland2,32,578.288
surf_fuchnut,34,576.902
surf_vestige_fix,32,576.118
surf_android_ksf,33,575.774
surf_vestige_fix,35,575.611
surf_antagonist2,34,575.429
surf_not_so_prosurf,31,575.089
surf_sc_essence_v2,31,575.079
surf_not_so_disaster,33,574.911
surf_neoteric_retexture,31,573.811
surf_remeanian,35,573.577
surf_sequoia_fix,32,572.657
surf_zen,33,572.477
surf_santorini3,34,572.272
surf_creation,31,572.186
surf_undergrowth,33,571.794
surf_ruse,37,571.441
surf_jive,32,570.741
surf_greek_ksf,32,569.887
surf_jaqen,33,569.854
surf_joutsenlaulu,33,569.710
surf_faint_fix,32,569.059
surf_listless_ksf,34,568.677
surf_dune,36,568.170
surf_affliction,31,568.051
surf_nsz_fix,33,567.785
surf_hyper,31,567.766
surf_barbies_malibu_adventure,35,567.706
surf_earthmover,36,567.552
surf_eryr2_fix,32,567.036
surf_serenity2,32,567.023
surf_not_so_generated,33,566.638
surf_harmony_fix,32,566.239
surf_limbo,32,565.564
surf_lost,34,565.239
surf_not_so_quick,34,565.197
surf_overgrowth2,31,564.490
surf_zeitgeist,33,564.045
surf_runewords2_lod,31,563.891
surf_sandtrap,33,563.487
surf_pipeline,31,563.286
surf_despair,32,563.146
surf_affliction,39,562.939
surf_goliath,33,562.557
surf_devs_ksf,33,562.525
surf_highlands,33,562.463
surf_emerald,31,562.094
surf_santorini_ksf,32,561.867
surf_gary_barlow,32,561.557
surf_yolo,32,561.309
surf_lax,31,560.830
surf_firedancer,32,560.550
surf_botanica,35,560.302
surf_polytron,31,559.663
surf_golden_refix,33,559.603
surf_wasteland2,35,558.934
surf_yolo,34,558.839
surf_jaqen2,32,558.703
surf_ben10,33,558.145
surf_anoobis,38,557.972
surf_our,32,557.641
surf_ben10,36,557.488
surf_frost,35,557.247
surf_vestige_fix,34,557.200
surf_crank,33,556.737
surf_vitamin_e,36,556.259
surf_disaster,32,556.166
surf_happyhands5,31,556.107
surf_hektik,35,556.080
surf_corrosion,35,555.830
surf_expel,32,555.796
surf_haze,33,555.415
surf_forsaken,31,555.054
surf_mwag_reloaded,34,554.704
surf_fungus,35,554.411
surf_despair,33,553.774
surf_sinister_evil,31,553.449
surf_crimson,33,553.295
surf_jumble,33,552.903
surf_1024,31,552.448
surf_monkeys,32,552.108
surf_not_so_generated,31,551.691
surf_hardline,33,550.909
surf_cannonball,31,550.243
surf_barbies_malibu_adventure,38,550.125
surf_instantdeath,34,549.859
surf_our,33,549.834
surf_not_so_prosurf,36,549.403
surf_tycho2,34,549.026
surf_frus_njv,31,548.855
surf_revolution_fix,32,548.634
surf_bikini_bottom,36,547.754
surf_yolo,31,547.627
surf_rewind,31,547.508
surf_papertown,32,547.427
surf_spacemonkeys,31,547.427
surf_funhouse2,37,547.314
surf_fornax,37,546.428
surf_gradient,31,545.946
surf_fruits2,31,545.046
surf_weirdcore,31,544.908
surf_aphelion,31,544.879
surf_damnation,31,544.875
surf_not_so_prosurf,32,544.802
surf_outside,34,544.744
surf_vienna,32,544.494
surf_runewords2,35,544.247
surf_loentra,32,543.920
surf_wicked,32,543.864
surf_ben10,35,543.425
surf_morbid2,32,542.590
surf_korn,33,542.500
surf_korn,32,542.466
surf_hollow,32,542.305
surf_huh,36,542.004
surf_selenka,31,541.649
surf_extremex2_5,32,541.369
surf_not_so_quick,35,540.816
surf_fortress_ksf,35,540.371
surf_sluice2,34,540.333
surf_tropic_ksf,35,540.300
surf_izded,33,538.820
surf_crush2,31,538.673
surf_expel,31,538.366
surf_banana_fix,32,538.315
surf_polygon,31,537.666
surf_tormentor,32,537.405
surf_selenka2,34,537.183
surf_greek_ksf,33,537.119
surf_quirky,36,536.806
surf_sexplizooimed,31,536.233
surf_raqqit,31,536.031
surf_aura,38,535.936
surf_fornax,33,535.641
surf_not_so_disaster,34,535.490
surf_kartune,31,535.083
surf_pls,39,534.962
surf_loentra,31,534.726
surf_angelina,33,534.551
surf_wicked,31,534.393
